담당채널,지사,계약번호,서비스번호,상호,구역,설치주소,"활동유무(o,x)",세부 활동내역,시,군구,읍면동,"위치좌표(위도,경도)",상태,세부 활동내역.1,최종수정자,최종수정일시
SP,중앙,51656611.0,62344142.0,에이치109(GiGAeyes i-guard),G000404,서울 중구 신당동 398-2번지 4층,,,서울,중구,신당동,"37.5614596090291,127.010421500674",,,,
SP,중앙,51724516.0,62488805.0,티앤피디자인컴퍼니2층(GiGAeyes i-guard),G000404,서울 중구 신당동 62-33,,,서울,중구,신당동,"37.5617513423726,127.020215822942",,,,
SP,중앙,51872359.0,62801018.0,나인트리호텔동대문(GiGAeyes patrol),G000402,서울 중구 을지로5가 92-2 나인트리호텔 동대문,,,서울,중구,,"37.5666140024765,127.002907857545",,,,
SP,중앙,51603927.0,62228795.0,남산2F연습실(GiGAeyes guard),G000408,서울 중구 장충동 201-6,,,서울,중구,장충동,"37.5514171635849,127.002521592992",,,,
SP,중앙,51871601.0,62799427.0,서울백병원_구역분리(GiGAeyes i-guard premium),G000402,서울 중구 저동2가 85 백병원 본관하연관,,,서울,중구,저동,"37.5649709057447,126.988848854621",,,,
SP,중앙,52065661.0,63210634.0,나인트리바이파르나스서울Ⅱ(GiGAeyes patrol),G000402,서울 중구 초동 72-10 나인트리 바이 파르나스 서울Ⅱ,,,서울,중구,초동,"37.5643461525469,126.99092434126",,,,
SP,중앙,51872356.0,62801014.0,나인트리호텔명동(GiGAeyes patrol),G000402,서울 중구 충무로2가 63-2 나인트리 호텔 명동,,,서울,중구,명동,"37.5615886250724,126.986025451697",,,,
SP,의정부,50381502.0,60467530.0,동두천고용복지센터(OCT),G000504,경기 동두천시 생연동 369-8번지 3층,,,경기,동두천시,생연동,"37.8988027165728,127.059069031705",,,,
SP,의정부,51508632.0,62026167.0,다이소광적점(OCT),G000502,경기 양주시 가납리 가납리 842-3번지 1층,,,경기,양주시,,"37.8245949086173,126.98179364837",,,,
SP,의정부,51213459.0,61481171.0,한국가스산업(뷰N),G000502,경기 양주시 광적면 비암리 693,,,경기,양주시,광적면,"37.808499950623,126.921082099435",,,,
SP,의정부,51501080.0,62010299.0,에스비글로벌헬스케어2공장(OCT),G000504,경기 양주시 봉양동 570-7 칠봉산로286번길 4,방문상담,"리텐션 제안 , 검토 후 연락 주시겠다고 함/고객 이승현님",경기,양주시,봉양동,"37.8589181647261,127.073388474217",방문상담,,의정부-G000504,2026-08-21 11:02:35
SP,의정부,51295145.0,61596459.0,경기교통공사3층(OCT),G000503,경기 양주시 옥정동 963-1 한길프라자2(3층 301호-306호),방문상담,"리텐션 안내, 검토 후 연락 주시기로 함/담당자 양순호",경기,양주시,옥정동,"37.8221346903816,127.092754791963",방문상담,,의정부-G000503,2026-08-21 10:58:10
SP,의정부,51558291.0,62129592.0,타이바컴퍼니(GiGAeyes guard),G000504,경기 연천군 간파리 310-1,,,경기,연천군,,"37.9420820240371,127.004495600477",,,,
SP,의정부,51424066.0,61849174.0,황금농장(giga-뷰),G000504,경기 연천군 백학면전동리 장백로683번길 256,,,경기,연천군,백학면전동,"38.0171416903204,126.891072208216",,,,
SP,의정부,50650116.0,60788181.0,열쇠아파트(하이파이브)(OCT뷰N),G000504,경기 연천군 신서면 도신리190-1 다동102호,방문상담,재계약상담 진행중,경기,연천군,신서면,"38.1768197336645,127.100215860265",방문상담,,의정부-G000504,2026-08-20 13:28:59
SP,의정부,50910332.0,61092265.0,연천경순왕릉-All-lOT(연천군청),G000504,경기 연천군 장남면 고랑포리 산18-2번지,,,경기,연천군,장남면,"37.991193899525,126.842430340903",,,,
SP,의정부,50639148.0,60775631.0,한아름아파트(OCT뷰N),G000504,경기 연천군 전곡읍 은대리649-9,활동중,재계약상담 진행중,경기,연천군,전곡읍,"38.0318035313656,127.058952996563",활동중,,의정부-G000504,2026-08-20 13:29:25
SP,의정부,51024706.0,61224865.0,원불교창필재단은혜마을(oct-뷰),G000504,경기 연천군 전곡읍 은대리90,,,경기,연천군,전곡읍,"38.048588210392,127.076841009145",,,,
SP,의정부,51869644.0,62795441.0,리뉴어스(GiGAeyes guard),G000504,경기 연천군 전곡읍간파리 간파리 388-1,재계약거부,현장종료 폐업해지,경기,연천군,전곡읍,"37.9345406021875,127.01235450019",재계약거부,,의정부-G000504,2026-08-19 08:26:08
SP,의정부,51021359.0,61220222.0,5사단 해오름아파트(oct-뷰),G000504,경기 연천군 청산면 백의리 822-12,활동중,졔계약 상담,경기,연천군,청산면,"38.0239038221486,127.136113445369",활동중,,의정부-G000504,2026-08-20 13:32:33
SP,의정부,50381510.0,60467542.0,의정부요양병원(OCT),G000503,경기 의정부시 녹양동 321-3,활동중,8.20일 활동진행,경기,의정부시,녹양동,"37.7573921668293,127.022491340169",활동중,,관리자,2026-08-20 17:58:16
SP,의정부,50527129.0,60648700.0,삼주국민마트(OCT),G000501,경기 의정부시 신곡동 719-2 백상프라자지하,,,경기,의정부시,신곡동,"37.7310451181833,127.055697259277",,,,
SP,의정부,52147446.0,63312449.0,에버리치,G000501,경기 의정부시 의정부동  20-12 관리사무소 (의정부동 에버리치),,,경기,의정부시,의정부동,"37.7439274797224,127.053300544165",,,,
SP,의정부,51283178.0,61579321.0,서울신세계안과의원(OCT),G000501,경기 의정부시 의정부동 175-10 나이키빌딩 5층11층,,,경기,의정부시,의정부동,"37.7387148032002,127.048354847662",,,,
SP,의정부,51088477.0,61308888.0,365식자재할인마트(OCT),G000501,경기 의정부시 의정부동 414-24번지,,,경기,의정부시,의정부동,"37.7457342778638,127.042189664872",,,,
SP,의정부,52045297.0,63169023.0,삼천리이에스(GiGAeyes guard),G000501,경기 의정부시 장암동 153 도봉차량기지내 현장,,,경기,의정부시,장암동,"37.7002324904701,127.051699429912",,,,
SP,의정부,51461186.0,61929013.0,형제상가(GiGAeyes i-guard premium),G000501,경기 의정부시 호원동 312-11,,,경기,의정부시,호원동,"37.7236355635552,127.045549818027",,,,
SP,의정부,51100941.0,61324765.0,삼광섬유주식회사-뷰N,G000505,경기 포천시 가산면 마산리 280-1,활동중,,경기,포천시,가산면,"37.8393197148011,127.182364328435",활동중,,의정부-G000505,2026-08-10 20:10:05
SP,의정부,51213561.0,61481341.0,동양특장-뷰N,G000506,경기 포천시 내촌면 소학리 211-16,,,경기,포천시,내촌면,"37.8094472703301,127.252931785665",,,,
SP,의정부,51895240.0,62850292.0,프롬비(주),G000505,경기 포천시 소흘읍 고모리 784-2,활동중,11월에 약정만료로 11월 재약정 예정,경기,포천시,소흘읍,"37.8055917683583,127.157537853923",활동중,,의정부-G000505,2026-08-10 20:15:54
SP,의정부,51525464.0,62063431.0,제이푸드원(GiGAeyes guard),G000505,경기 포천시 소흘읍 무봉리 359-8,활동중,,경기,포천시,소흘읍,"37.7945262023017,127.129819505869",활동중,,의정부-G000505,2026-08-10 20:06:01
SP,의정부,51079620.0,61297636.0,(주)꼬뮨파이브지점 드림무인텔,G000505,경기 포천시 소흘읍 이곡리36-2,활동중,,경기,포천시,소흘읍,"37.7740916337955,127.157686879231",활동중,,의정부-G000505,2026-08-10 20:06:36
SP,의정부,51069018.0,61283817.0,태진테크(OCT),G000505,경기 포천시 소흘읍 이동교리 호국로 287번길9-31,활동중,,경기,포천시,소흘읍,"37.8000645842337,127.126086058195",활동중,,의정부-G000505,2026-08-10 20:06:58
SP,의정부,52135556.0,63300559.0,와이브루어리,G000505,경기 포천시 소흘읍 초가팔리 156-52,활동중,,경기,포천시,소흘읍,"37.8132304996843,127.152083969365",활동중,,의정부-G000505,2026-08-10 20:09:12
SP,의정부,51160949.0,61404671.0,포천발전소,G000506,경기 포천시 영중면 양문리 982-1,방문상담,"사무실 카메라 1대 화각 조정 요청하시고, 다음 사업장이나 신규로 카메라 필요하면 연락달라고 이용희 과장에게 명함 전달 후 퇴장함. BSS상에 뜨지 않는 고객 리텐션활동과 계약사항은 조충현 대리에게 확인 후 활동할 것",경기,포천시,영중면,"38.0073362073159,127.260464521842",방문상담,,의정부-G000506,2026-08-21 14:26:22
SP,의정부,51468886.0,61944177.0,선일이엠씨(OCT),G000506,경기 포천시 일동면 유동리 480-3,방문상담,방문상담,경기,포천시,일동면,"37.9211989609311,127.304238433059",방문상담,,관리자,2026-08-21 14:29:21
SP,원주,51700677.0,62439301.0,엘케이스톤정상공장(GiGAeyes guard),P000201,강원 원주시 귀래면 귀래리 176-1,,,강원,원주시,귀래면,"37.2162723847792,127.89544341638",,,,
SP,원주,51036910.0,61241887.0,더키움(GiGAeyes guard),P000201,강원 원주시 무실동 1724-14,,,강원,원주시,무실동,"37.3414952122281,127.923077572864",,,,
SP,원주,50464778.0,60571389.0,심로악기2공장(NVR뷰_메인),P000201,강원 원주시 문막읍 궁촌리 1512-1,,,강원,원주시,문막읍,"37.2825430540844,127.831725937683",,,,
SP,원주,51146066.0,61384676.0,이오스하이텍1층(OCT),P000201,강원 원주시 문막읍 반계리 101 이오스하이텍,,,강원,원주시,문막읍,"37.2993214401438,127.796144042304",,,,
SP,원주,50804679.0,60965588.0,(주)더조은메디컬,P000202,강원 원주시 반곡동 양지로 4 더조은메디컬,방문상담,,강원,원주시,반곡동,"37.3254075943191,127.978855977079",방문상담,,원주-P000202,2026-08-18 11:07:16
SP,원주,20458529.0,20458529.0,세인블루노림리(OCT),P000201,강원 원주시 부론면 노림리 881-2,,,강원,원주시,부론면,"37.2533216042931,127.773173235709",,,,
SP,원주,51881080.0,62819592.0,남한강에스파크컨트리클럽,P000201,강원 원주시 부론면 법천리 75-1 장뜰길 154,,,강원,원주시,부론면,"37.2095913272901,127.780362588891",,,,
SP,원주,51513850.0,62037420.0,다림바이오텍A동(GiGAeyes guard),P000201,강원 원주시 지정면 신평리 1066 (주)다림바이오텍_A동,,,강원,원주시,지정면,"37.3761661502515,127.887010323969",,,,
SP,원주,51513857.0,62037438.0,다림바이오텍B동(GiGAeyes guard),P000201,강원 원주시 지정면 신평리 1066 (주)다림바이오텍_B동,,,강원,원주시,지정면,"37.3761661502515,127.887010323969",,,,
SP,원주,51328762.0,61657540.0,소금산막국수,P000201,강원 원주시 지정면 월송리 992번지 (1동 1층),,,강원,원주시,지정면,"37.4118274643511,127.836253792859",,,,
SP,원주,50893324.0,61071076.0,현대메디텍(OCT),P000201,강원 원주시 지정면 청정로 80,,,강원,원주시,지정면,"37.3845665738026,127.888715681002",,,,
SP,원주,51715821.0,62470258.0,디엔비소프트(OCT),P000201,강원 원주시 지정면가곡리 1348-2 퀸즈파크 7층,,,강원,원주시,지정면,"37.3745116392349,127.874453808019",,,,
SP,원주,51891153.0,62841294.0,송곡대학교(카페승마장)(GiGAeyes guard),P000207,강원 춘천시 남산면 창촌리 1 송곡대학교 카페 승마장,,,강원,춘천시,남산면,"37.7919089219496,127.65258257282",,,,
SP,원주,50266126.0,60326931.0,케이디티(OCT),P000207,강원 춘천시 남산면 창촌리638,,,강원,춘천시,남산면,"37.7680300300647,127.62537793875",,,,
SP,원주,51321357.0,61642467.0,샛별어린이집(OCT),P000206,강원 춘천시 동면 장학리 220-34,,,강원,춘천시,동면,"37.8943019337529,127.761372524561",,,,
SP,원주,10876615.0,10876615.0,춘천삼육초등학교-교무실(OCT),P000206,강원 춘천시 동면 장학리 568-1,,,강원,춘천시,동면,"37.9110318821307,127.75359657481",,,,
SP,원주,20486899.0,20486899.0,농협은행-춘천농협애막골지점(영업장),P000206,강원 춘천시 석사동 725-4,,,강원,춘천시,석사동,"37.8669827826818,127.755897719641",,,,
SP,원주,20403531.0,20403531.0,농협은행-춘천농협석사무릉지점(영업장),P000207,강원 춘천시 석사동 799-2 선타워빌딩 1층 101호~104호,,,강원,춘천시,석사동,"37.8571525384972,127.739339511265",,,,
SP,원주,51282367.0,61577987.0,2급양대급식유통센터,P000207,강원 춘천시 신동면 증리 800-3번지,,,강원,춘천시,신동면,"37.8301320045841,127.718651323993",,,,
SP,원주,51564502.0,62142395.0,남춘천초등학교-체육관,P000207,강원 춘천시 온의동 550 남춘천초교 남춘천초등학교,,,강원,춘천시,온의동,"37.861032674133,127.722063900637",,,,
SP,원주,51527778.0,62068360.0,KBS춘천방송총국,P000207,강원 춘천시 온의동 581 KBS춘천방송총국 .,,,강원,춘천시,온의동,"37.8681693316073,127.721988640738",,,,
SP,원주,51154505.0,61395985.0,제2218부대(두미르레스텔201동),P000206,강원 춘천시 우두동 687-5 (두미르레스텔 201동),,,강원,춘천시,우두동,"37.9026949746327,127.730493071042",,,,
SP,원주,51145298.0,61383650.0,춘천농협-신사우동지점(주유소)(OCT),P000206,강원 춘천시 우두동 761-18,,,강원,춘천시,우두동,"37.9043334051043,127.727233248777",,,,
SP,원주,557474.0,557474.0,농협은행-춘천농협동부지점(영업장),P000206,강원 춘천시 운교동 182-4 (금융창구매장),,,강원,춘천시,운교동,"37.8768148002136,127.734290439133",,,,
SP,원주,51898062.0,62856357.0,명부정사(GiGAeyes guard),P000207,강원 춘천시 원창리 원창리 213-23번지 사찰 전 부지,재계약,재계약완료,강원,춘천시,,"37.814954515193,127.772071173266",재계약,,원주-P000207,2026-08-20 18:11:56
SP,원주,51357367.0,61710921.0,(사)춘천상업경영인연합회(OCT),P000206,강원 춘천시 죽림동 19-2,,,강원,춘천시,죽림동,"37.8778473791624,127.727057885495",,,,
SP,원주,50972670.0,61162226.0,춘천중앙성결교회(OCT),P000206,강원 춘천시 죽림동 86-7,,,강원,춘천시,죽림동,"37.8767140471791,127.725211236466",,,,
SP,원주,237443.0,237443.0,농협은행-춘천농협퇴계지점(금고),P000207,강원 춘천시 퇴계동 903-6,,,강원,춘천시,퇴계동,"37.8589467441379,127.7245716697",,,,
SP,원주,51503116.0,62014327.0,압타머사이언스씨알오(CRO)센터,P000206,강원 춘천시 후평동 198-53 벤처타운 3동,,,강원,춘천시,후평동,"37.8923919301037,127.743878480452",,,,
SP,원주,20249211.0,20249211.0,춘천농협후석로지점(영업장),P000206,강원 춘천시 후평동 555-3 1층,,,강원,춘천시,후평동,"37.8864826689049,127.745528368266",,,,
SP,원주,51388995.0,61778069.0,남양약품,P000206,강원 춘천시 후평동 745-27 1층,,,강원,춘천시,후평동,"37.8881235929128,127.754033266883",,,,
SP,원주,52171696.0,63352179.0,해덕수산,P000202,강원 평창군 대관령면 유천리 1-9,방문상담,,강원,평창군,대관령면,"37.6869782604358,128.66536200889",방문상담,,원주-P000202,2026-08-18 11:07:54
SP,원주,52136835.0,63301838.0,더화이트뷰,P000202,강원 평창군 봉평면 무이리 704-1,방문상담,,강원,평창군,봉평면,"37.5856803599653,128.3253128527",방문상담,,원주-P000202,2026-08-18 11:08:35
SP,원주,20390982.0,20390982.0,성대자동차해체재활용산업,P000208,강원 홍천군 북방면 상화계리 227,,,강원,홍천군,북방면,"37.7098394237821,127.849323759157",,,,
SP,원주,51711672.0,62461893.0,대성타운,P000206,강원 화천군 상서면 산양리 738-73 대성타운 1층,,,강원,화천군,상서면,"38.2066470879569,127.662123127819",,,,
SP,원주,52133666.0,63298669.0,화천군청,P000206,강원 화천군 화천읍 아리 239 (화천군청),,,강원,화천군,화천읍,"38.1060774614045,127.708118329905",,,,
SP,원주,51909424.0,62880799.0,(주)한라에프에스디(GiGAeyes guard),P000202,강원 횡성군 우천면 수남로 166 한라에프에스디,방문상담,,강원,횡성군,우천면,"37.4604724209512,128.047480296255",방문상담,,원주-P000202,2026-08-18 11:08:39
SP,원주,50591785.0,60721279.0,의료법인선덕의료재단,P000202,강원 횡성군 횡성읍 입석리 153-10,방문상담,,강원,횡성군,횡성읍,"37.4784322143934,127.980004953309",방문상담,,원주-P000202,2026-08-18 11:08:49
SP,원주,51663266.0,62358619.0,IC-가평랜드오토캠핑장(무인캠핑장)(GiGAeyes i-care),P000209,경기 가평군 마일리 마일리 4-3번지 가평랜드,,,경기,가평군,,"37.8265971663435,127.406399167764",,,,
SP,원주,51879989.0,62817140.0,이옥일,P000209,경기 가평군 상면 봉수리 272-7번지 관음사,,,경기,가평군,상면,"37.8637933573298,127.298874828729",,,,
SP,원주,52139187.0,63304190.0,더블에이치원 주식회사,P000209,경기 가평군 설악면 사룡리 587-5 (설악사룡 더블에이치원),,,경기,가평군,설악면,"37.6937579342374,127.484528330366",,,,
SP,원주,50127198.0,60152244.0,대길통상(OCT),P000209,경기 가평군 설악면 사룡리777,,,경기,가평군,설악면,"37.698167879721,127.480504509515",,,,
SP,원주,50703522.0,60848489.0,청심국제중고등학교(출입통제),P000209,경기 가평군 설악면 송산리 산 102,,,경기,가평군,설악면,"37.6870491032638,127.540451273332",,,,
SP,원주,51474742.0,61956491.0,창조레저개발(제천스테리움),P000203,충북 제천시 백운면 운학리  105-10  제천스테리움캠핑장,,,충북,제천시,백운면,"37.2041632817142,128.009366614339",,,,
SP,원주,20061837.0,20061837.0,제천여자고등학교,P000203,충북 제천시 서부동 740,,,충북,제천시,서부동,"37.1360068425404,128.204561858997",,,,
SP,원주,20332942.0,20332942.0,제천세명고등학교-본관(OCT),P000203,충북 제천시 신월동 566번지,,,충북,제천시,신월동,"37.1828042433007,128.19797007806",,,,
SP,서대문,51182487.0,61436301.0,노고산동마포구시설관리공단-지하층(텔레캅 큐브),G000203,서울 마포구 노고산동 1-50 우리마포복지관,,,서울,마포구,노고산동,"37.5558510835584,126.94218768322",,,,
SP,서대문,51182484.0,61436297.0,노고산동마포구시설관리공단-지상층(GiGAeyes guard),G000203,서울 마포구 노고산동 1-50 우리마포복지관,,,서울,마포구,노고산동,"37.5558510835584,126.94218768322",,,,
SP,서대문,51873440.0,62802886.0,호텔루(GiGAeyes i-guard),G000203,서울 마포구 동교동 166-1 ,,,서울,마포구,동교동,"37.5574996201349,126.925154486714",,,,
SP,서대문,51733607.0,62502926.0,엠83(GiGAeyes guard),G000203,서울 마포구 동교동 166-14 동교동 스타피카소 와이즈파크 빌딩 4층,,,서울,마포구,동교동,"37.5571922183478,126.924758225569",,,,
SP,서대문,51709035.0,62456484.0,올히어(GiGAeyes 24_무인pc방),G000203,서울 마포구 동교동 173-14 1층,,,서울,마포구,동교동,"37.5583725688492,126.92625653082",,,,
SP,서대문,51824908.0,62697101.0,케이타이거즈그룹(GiGAeyes guard),G000205,서울 마포구 상수동 71-16 (전층),방문상담,,서울,마포구,상수동,"37.5490821298492,126.924292901607",방문상담,,서대문-G000205,2026-08-20 13:28:53
SP,서대문,51563892.0,62141113.0,케이티스카이라이프(화재-출입통제),G000202,서울 마포구 상암동 1610번지 8층,,,서울,마포구,상암동,"37.5784544591109,126.892916405925",,,,
SP,서대문,50754486.0,60907034.0,스카이(sky)어린이집(OCT),G000202,서울 마포구 상암동 1610번지 DDMC빌딩3층,,,서울,마포구,상암동,"37.5784544591109,126.892916405925",,,,
SP,서대문,51189407.0,61446485.0,제이엔케이글로벌(주),G000202,서울 마포구 상암동 481-6 (상암스테이션 충전소),,,서울,마포구,상암동,"37.5709369195826,126.878838817515",,,,
SP,서대문,51535918.0,62085534.0,케이비에스미디어주식회사,G000202,서울 마포구 상암동 서울 마포구 매봉산로 45 KBS미디어센터,,,서울,마포구,상암동,"37.5765125877795,126.890992094988",,,,
SP,서대문,51490526.0,61989937.0,재단법인박정희대통령기념재단-확장,G000202,서울 마포구 상암동 서울 마포구 월드컵로 386 박정희 대통령 기념도서관,,,서울,마포구,상암동,"37.5749463012542,126.886126204684",,,,
SP,서대문,51885444.0,62828655.0,유에이치에스-만리점(GiGAeyes i-guard),G000205,서울 마포구 서교동 2 10층 건물,방문상담,,서울,마포구,서교동,"37.5577542791243,126.910097980443",방문상담,,서대문-G000205,2026-08-20 13:28:15
SP,서대문,50807682.0,60969003.0,한국YMCA전국연맹-4층(OCT),G000205,서울 마포구 서교동 376-11,방문상담,,서울,마포구,서교동,"37.5538513733862,126.917166005189",방문상담,,서대문-G000205,2026-08-20 13:28:51
SP,서대문,51731235.0,62498334.0,어스얼리언스(GiGAeyes i-guard),G000205,서울 마포구 서교동 395-163,방문상담,,서울,마포구,서교동,"37.5509551313842,126.917833158635",방문상담,,서대문-G000205,2026-08-20 13:29:09
SP,서대문,51440893.0,61884762.0,위비앙병원(GiGAeyes i-guard premium),G000204,서울 마포구 아현동 346-5번지,,,서울,마포구,아현동,"37.5569248730364,126.952442598457",,,,
SP,서대문,51806653.0,62658142.0,라센트라(연남)(GiGAeyes guard),G000202,서울 마포구 연남동 서울 마포구 연남로 76 라센트라 연남관리실,,,서울,마포구,연남동,"37.5658756338541,126.919259481347",,,,
SP,서대문,51718915.0,62476756.0,신촌감리교회,G000203,서울 마포구 염리동 518 신촌교회,,,서울,마포구,염리동,"37.5499678130219,126.947335579564",,,,
SP,서대문,51299344.0,61602334.0,오원빌딩,G000203,서울 마포구 염리동 백범로123,,,서울,마포구,염리동,"37.5468204326392,126.944939021788",,,,
SP,서대문,51054266.0,61265721.0,절두산순교성지,G000205,서울 마포구 합정동 96-1번지,방문상담,,서울,마포구,합정동,"37.5441233225731,126.912096056128",방문상담,,서대문-G000205,2026-08-20 13:28:35
SP,서대문,51884526.0,62826884.0,와우빌리지(GiGAeyes guard),G000203,서울 서대문구 신촌동 1층2층3층,,,서울,서대문구,신촌동,"37.5651616940517,126.93927687604",,,,
SP,서대문,51509278.0,62027555.0,영천시장상인회,G000204,서울 서대문구 영천동 294 2층,,,서울,서대문구,영천동,"37.5709084343633,126.961077298416",,,,
SP,서대문,51478371.0,61964249.0,더건강한패밀리(GiGAeyes guard),G000203,서울 서대문구 창천동 31-39번지 2층,,,서울,서대문구,창천동,"37.5575669256257,126.936707820448",,,,
SP,서대문,50619227.0,60753002.0,사조산업(주),G000204,서울 서대문구 충정로2가 157번지,,,서울,서대문구,,"37.5642529741046,126.966091988099",,,,
